,tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
43,ITF Men,Diego Fernandez Flores (CHI) vs Luca Wiedenmann (GER),Diego Fernandez Flores (CHI),Luca Wiedenmann (GER),2.4,1.48,2022-11-30 08:45,2022-11-30 08:45
44,ITF Men,Sergi Perez Contri (ESP) vs Julio Cesar Porras (ARG),Sergi Perez Contri (ESP),Julio Cesar Porras (ARG),2.05,1.65,2022-11-30 08:45,2022-11-30 08:45
45,ITF Men,Sidane Pontjodikromo (NED) vs Nikolay Nedelchev (BUL),Sidane Pontjodikromo (NED),Nikolay Nedelchev (BUL),1.22,3.7,2022-11-30 08:45,2022-11-30 08:45
46,ITF Men,Tim Handel (GER) vs Ignacio Benzal Alia (ESP),Tim Handel (GER),Ignacio Benzal Alia (ESP),1.04,8.0,2022-11-30 10:45,2022-11-30 10:45
47,ITF Men,Thomas Deschamps (FRA) vs Pablo Manzano Lapuerta (ESP),Thomas Deschamps (FRA),Pablo Manzano Lapuerta (ESP),1.06,6.75,2022-11-30 10:45,2022-11-30 10:45
48,ITF Men,Federico Bondioli (ITA) vs Mario Mansilla Diez (ESP),Federico Bondioli (ITA),Mario Mansilla Diez (ESP),1.87,1.8,2022-11-30 10:45,2022-11-30 10:45
49,ITF Men,Jonas Schaer (SUI) vs Alejandro Turriziani Alvarez (ESP),Jonas Schaer (SUI),Alejandro Turriziani Alvarez (ESP),1.45,2.5,2022-11-30 10:45,2022-11-30 10:45
50,ITF Men,Tao Mu (CHN) vs Aaron Cohen (ISR),Tao Mu (CHN),Aaron Cohen (ISR),1.28,3.25,2022-11-30 12:45,2022-11-30 12:45
51,ITF Men,A. Manzanera Pertusa/S. Martinez Arjona vs N. Nedelchev/A. Stepanian,A. Manzanera Pertusa/S. Martinez Arjona,N. Nedelchev/A. Stepanian,1.25,3.3,2022-11-30 12:45,2022-11-30 12:45
52,ITF Men,M. Martinez/A. Turriziani Alvarez vs D. Fernandez Flores/A. Soriano Barrera,M. Martinez/A. Turriziani Alvarez,D. Fernandez Flores/A. Soriano Barrera,4.75,1.12,2022-11-30 14:45,2022-11-30 14:45
