,tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
151,ITF Women,Ekaterina Ovcharenko (RUS) vs Katarzyna Kawa (POL),Ekaterina Ovcharenko (RUS),Katarzyna Kawa (POL),6.5,1.07,2022-11-30 09:45,2022-11-30 09:45
152,ITF Women,Katarina Jokic (SRB) vs Jana Fett (CRO),Katarina Jokic (SRB),Jana Fett (CRO),3.9,1.2,2022-11-30 11:45,2022-11-30 11:45
153,ITF Women,Taylor Ng (USA) vs Nefisa Berberovic (BIH),Taylor Ng (USA),Nefisa Berberovic (BIH),1.45,2.5,2022-11-30 13:45,2022-11-30 13:45
154,ITF Women,Mary Lewis (USA) vs Nahia Berecoechea (FRA),Mary Lewis (USA),Nahia Berecoechea (FRA),3.5,1.25,2022-11-30 07:30,2022-11-30 07:30
155,ITF Women,Katarina Kuzmova (SVK) vs Doga Turkmen (TUR),Katarina Kuzmova (SVK),Doga Turkmen (TUR),1.05,7.25,2022-11-30 07:45,2022-11-30 07:45
156,ITF Women,Zhanel Rustemova (KAZ) vs Yasmin Ezzat (EGY),Zhanel Rustemova (KAZ),Yasmin Ezzat (EGY),2.15,1.6,2022-11-30 07:45,2022-11-30 07:45
157,ITF Women,IvsHsuan Cho (TPE) vs Alisa Kummel (RUS),I-Hsuan Cho (TPE),Alisa Kummel (RUS),1.5,2.35,2022-11-30 07:45,2022-11-30 07:45
158,ITF Women,Radka Zelnickova (SVK) vs Aglaya Fedorova (RUS),Radka Zelnickova (SVK),Aglaya Fedorova (RUS),1.33,2.95,2022-11-30 09:45,2022-11-30 09:45
159,ITF Women,Cara Maria Mester (ROU) vs Yi Tsen Cho (TPE),Cara Maria Mester (ROU),Yi Tsen Cho (TPE),1.22,3.75,2022-11-30 09:45,2022-11-30 09:45
160,ITF Women,Liisa Varul (EST) vs Yujin Ahn (KOR),Liisa Varul (EST),Yujin Ahn (KOR),3.25,1.28,2022-11-30 10:15,2022-11-30 10:15
161,ITF Women,Briana Szabo (ROU) vs Giulia Tedesco (ITA),Briana Szabo (ROU),Giulia Tedesco (ITA),1.36,2.8,2022-11-30 11:45,2022-11-30 11:45
162,ITF Women,Mariam Atia (EGY) vs Ekaterina Shalimova (RUS),Mariam Atia (EGY),Ekaterina Shalimova (RUS),6.5,1.07,2022-11-30 11:45,2022-11-30 11:45
163,ITF Women,Anastasiya Apalikhina (RUS) vs Arina Solomatina (KGZ),Anastasiya Apalikhina (RUS),Arina Solomatina (KGZ),1.83,1.83,2022-11-30 11:45,2022-11-30 11:45
164,ITF Women,Vanessa Ioana Georgiana Popa Teiusanu (ROU) vs Giulia Carbonaro (ITA),Vanessa Ioana Georgiana Popa Teiusanu (ROU),Giulia Carbonaro (ITA),3.1,1.3,2022-11-30 12:15,2022-11-30 12:15
165,ITF Women,Jermine Sherif (EGY) vs Karine Sarkisova (RUS),Jermine Sherif (EGY),Karine Sarkisova (RUS),4.33,1.16,2022-11-30 13:45,2022-11-30 13:45
166,ITF Women,Emily Welker (GER) vs Aruzhan Sagandikova (KAZ),Emily Welker (GER),Aruzhan Sagandikova (KAZ),1.3,3.1,2022-11-30 13:45,2022-11-30 13:45
167,ITF Women,Elizaveta Shebekina (RUS) vs Melania Delai (ITA),Elizaveta Shebekina (RUS),Melania Delai (ITA),2.8,1.36,2022-11-30 15:45,2022-11-30 15:45
168,ITF Women,Jimar Geraldine Gerald Gonzalez (CHI) vs Anouk Koevermans (NED),Jimar Geraldine Gerald Gonzalez (CHI),Anouk Koevermans (NED),3.25,1.28,2022-11-30 08:15,2022-11-30 08:15
169,ITF Women,Maria Oliver Sanchez (ESP) vs Lucia Cortez Llorca (ESP),Maria Oliver Sanchez (ESP),Lucia Cortez Llorca (ESP),7.25,1.05,2022-11-30 08:15,2022-11-30 08:15
170,ITF Women,Darja Semenistaja (LAT) vs Naia Mercadier (FRA),Darja Semenistaja (LAT),Naia Mercadier (FRA),1.03,8.25,2022-11-30 08:15,2022-11-30 08:15
171,ITF Women,Marine Szostak (FRA) vs Tianmi Mi (CHN),Marine Szostak (FRA),Tianmi Mi (CHN),1.8,1.87,2022-11-30 08:15,2022-11-30 08:15
172,ITF Women,Gloria Ceschi (ITA) vs Emma Rizzetto (ITA),Gloria Ceschi (ITA),Emma Rizzetto (ITA),1.2,3.9,2022-11-30 10:15,2022-11-30 10:15
173,ITF Women,Louise Brunskog (SWE) vs Lidia Moreno Arias (ESP),Louise Brunskog (SWE),Lidia Moreno Arias (ESP),1.4,2.65,2022-11-30 10:15,2022-11-30 10:15
174,ITF Women,Antonia Samudio (COL) vs Tiantsoa Sarah Rakotomanga Rajaonah (FRA),Antonia Samudio (COL),Tiantsoa Sarah Rakotomanga Rajaonah (FRA),6.75,1.06,2022-11-30 10:15,2022-11-30 10:15
175,ITF Women,Ana Giraldi Requena (ESP) vs Noelia Bouzo Zanotti (ESP),Ana Giraldi Requena (ESP),Noelia Bouzo Zanotti (ESP),2.4,1.48,2022-11-30 10:15,2022-11-30 10:15
176,ITF Women,Blanca Pico Navarro (ESP) vs Martina Spigarelli (ITA),Blanca Pico Navarro (ESP),Martina Spigarelli (ITA),2.4,1.48,2022-11-30 12:15,2022-11-30 12:15
177,ITF Women,Jasmin Jebawy (GER) vs Jiho Shin (KOR),Jasmin Jebawy (GER),Jiho Shin (KOR),2.5,1.45,2022-11-30 12:15,2022-11-30 12:15
178,ITF Women,D. Semenistaja/M. Szostak vs J. G. Gerald Gonzalez/L. Petretic,D. Semenistaja/M. Szostak,J. G. Gerald Gonzalez/L. Petretic,1.25,3.3,2022-11-30 12:15,2022-11-30 12:15
179,ITF Women,A. Briones Ginesta/A. Giraldi Requena vs L. Cortez Llorca/C. Hoste Ferrer,A. Briones Ginesta/A. Giraldi Requena,L. Cortez Llorca/C. Hoste Ferrer,6.75,1.05,2022-11-30 12:15,2022-11-30 12:15
180,ITF Women,N. Bouzo Zanotti/M. Mettraux vs Y. Chen/N. Ugrelidze,N. Bouzo Zanotti/M. Mettraux,Y. Chen/N. Ugrelidze,1.3,3.0,2022-11-30 14:15,2022-11-30 14:15
181,ITF Women,R. Gonzalez Vilar/T. S. Rakotomanga Rajaonah vs I. Murta/A. Samudio,R. Gonzalez Vilar/T. S. Rakotomanga Rajaonah,I. Murta/A. Samudio,1.53,2.25,2022-11-30 14:15,2022-11-30 14:15
182,Exhibitions,Maria Fernanda Carvajal Altamirano (MEX) vs Lillie Murphy (USA),Maria Fernanda Carvajal Altamirano (MEX),Lillie Murphy (USA),1.4,2.75,2022-11-29 21:03,2022-11-30 02:15
183,Exhibitions,Laylo Bakhodirova (UZB) vs Emily Baek (USA),Laylo Bakhodirova (UZB),Emily Baek (USA),1.05,7.75,2022-11-29 21:08,2022-11-30 02:15
184,Exhibitions,Daniela Rivera (VEN) vs Daria Kuczer (POL),Daniela Rivera (VEN),Daria Kuczer (POL),2.4,1.5,2022-11-29 23:15,2022-11-29 23:15
185,Exhibitions,Luciana Perry (USA) vs Ralitsa Alexandrova (BUL),Luciana Perry (USA),Ralitsa Alexandrova (BUL),1.08,6.5,2022-11-29 23:15,2022-11-29 23:15
186,Exhibitions,Alex Del Corral (USA) vs Sasha Rozin (CAN),Alex Del Corral (USA),Sasha Rozin (CAN),1.08,6.5,2022-11-29 20:27,2022-11-30 02:15
187,Exhibitions,Daniel Sancho Arbizu (ESP) vs Juan David Velasquez (COL),Daniel Sancho Arbizu (ESP),Juan David Velasquez (COL),1.3,3.25,2022-11-29 21:27,2022-11-30 03:15
188,Exhibitions,Tomas Rodriguez (ARG) vs Emile Hudd (GBR),Tomas Rodriguez (ARG),Emile Hudd (GBR),5.75,1.1,2022-11-29 22:15,2022-11-29 22:15
189,Exhibitions,Matthew Segura (USA) vs Charlie Miller (GBR),Matthew Segura (USA),Charlie Miller (GBR),1.5,2.4,2022-11-29 22:15,2022-11-29 22:15
190,Exhibitions,Ryuhei Azuma (JPN) vs Maxwell Smith (USA),Ryuhei Azuma (JPN),Maxwell Smith (USA),1.2,4.0,2022-11-30 00:15,2022-11-30 00:15
